Object ID	Mean Intensity DAPI	Elongation Factor 	Mean Intensity Alexa 488	Mean Intensity Alexa 555	Total Intensity Alexa 555	Mean Intensity Alexa 647	Well 	Position 	X 	Y 	Area 	Z 	Parent Object ID (Well)	Parent Trace ID
0	240.79462	1.6749517	167.18819	54.297951	195907	5.3616962	2	1	-82893.519	76936.761	3608	5697.45	1	-1
1	353.37573	1.8745479	205.85048	53.246212	231834	5.5084977	2	1	-82859.011	77094.625	4354	5697.45	1	-1
2	282.52783	2.1311224	213.51532	43.864914	171775	4.9364147	2	1	-82892.874	77001.1	3916	5697.45	1	-1
3	223.56595	1.5039784	136.40482	52.439327	367757	3.600884	2	1	-82768.711	76959.981	7013	5697.45	1	-1
4	188.03967	1.475931	162.53238	40.140446	176056	4.2168264	2	1	-82714.693	77007.066	4386	5697.45	1	-1
5	191.47467	2.0605305	129.26802	40.239193	173109.02	4.5862389	2	1	-82849.336	76888.87	4302	5697.45	1	-1
6	278.46329	2.4619398	124.81604	46.217403	149236	4.4778571	2	1	-82784.675	76854.201	3229	5697.45	1	-1
7	468.89951	1.8802817	114.59603	58.147472	606420	34.058681	2	1	-82754.199	76833.884	10429	5697.45	1	-1
8	233.12271	1.8923174	140.98387	39.712208	125570	4.0629349	3	1	-81993.519	77058.666	3162	5697.24	2	-1
9	443.6554	1.5563045	170.96144	72.627983	182732	7.1053257	3	1	-81788.247	76976.429	2516	5697.24	2	-1
10	228.42194	1.3769705	150.26445	51.743465	150470	4.6795049	3	1	-82065.759	76951.274	2908	5697.24	2	-1
11	155.6521	1.9138622	131.70612	29.477549	145737	4.165453	3	1	-81812.113	76932.246	4944	5697.24	2	-1
12	325.92538	1.91988	254.20094	51.550236	119545	6.630013	3	1	-82014.643	76830.497	2319	5697.24	2	-1
13	287.13583	2.2544012	169.80402	51.082455	203819	4.9165416	3	1	-81859.681	76832.594	3990	5697.24	2	-1
14	262.45712	1.8609478	194.14447	52.930988	303718	5.1056118	3	1	-81940.306	77048.024	5738	5697.24	2	-1
15	286.39301	2.002963	183.95728	42.23254	113690	5.7968054	3	1	-81886.61	77048.508	2692	5697.24	2	-1
16	265.8295	1.5298108	183.42336	57.28474	159939	4.9176216	3	1	-82015.449	76924.506	2792	5697.24	2	-1
17	248.54753	1.662763	169.54832	50.020287	251502	5.2386637	3	1	-81987.875	76912.413	5028	5697.24	2	-1
18	343.42447	1.5298262	250.10635	83.762352	177995	6.9581175	3	1	-81879.999	76893.385	2125	5697.24	2	-1
19	233.6071	2.2750374	159.26294	43.238869	143726	4.7533092	3	1	-82103.652	76890.644	3324	5697.24	2	-1
20	310.81815	1.4344093	402.65143	35.207287	102418	6.0278444	3	1	-81925.955	76878.711	2909	5697.24	2	-1
21	239.71301	1.7768254	132.74017	40.413872	126455.01	4.7855544	3	1	-82025.769	76849.202	3129	5697.24	2	-1
22	245.64145	2.4854225	137.97705	67.082077	938277	4.0682063	3	1	-82006.741	76985.298	13987	5697.24	2	-1
23	296.60361	1.8483896	204.7444	64.860802	162152	5.3536	3	1	-82073.015	76902.415	2500	5697.24	2	-1
24	257.633	1.6600193	153.30762	56.443836	174863	4.912847	3	1	-81864.196	76946.436	3098	5697.24	2	-1
25	269.80469	1.9782178	201.34081	64.141136	191782	6.9401336	3	1	-81813.564	76855.169	2990	5697.24	2	-1
