Object ID	Mean Intensity DAPI	Elongation Factor 	Mean Intensity Alexa 488	Mean Intensity Alexa 555	Total Intensity Alexa 555	Mean Intensity Alexa 647	Well 	Position 	X 	Y 	Area 	Z 	Parent Object ID (Well)	Parent Trace ID
0	272.79507	2.2645485	206.84532	98.131897	818420	8.1014385	1	1	-83758.023	38696.531	8340	5718.9	0	-1
1	354.66498	1.7509472	141.99745	56.354347	221698	4.5678697	2	1	-82802.553	38766.514	3934	5720.23	1	-1
2	302.65317	1.7354921	158.86905	71.122589	221049	6.385457	2	1	-82832.384	38611.714	3108	5720.23	1	-1
3	454.17264	1.6995739	176.88441	74.173729	206648.02	6.3341708	2	1	-82958.481	38709.109	2786	5720.23	1	-1
4	337.67197	1.7099035	132.05414	63.609947	477011	4.1552205	2	1	-82954.289	38633.321	7499	5720.23	1	-1
5	244.13994	1.6676605	133.70885	66.169052	374980.03	4.7151933	2	1	-82905.591	38676.859	5667	5720.23	1	-1
6	189.67351	1.5934444	136.44383	44.887104	324040	3.5797203	2	1	-82885.113	38795.378	7219	5720.23	1	-1
7	234.33273	1.7487026	122.13923	41.535915	205852	4.2667475	2	1	-82970.091	38751.679	4956	5720.23	1	-1
8	195.89854	1.4971524	113.33762	49.681194	351097	4.0495257	2	1	-82863.989	38696.692	7067	5720.23	1	-1
9	209.61388	1.6668912	143.74049	65.171417	383990	3.8547182	2	1	-82820.29	38847.945	5892	5720.23	1	-1
10	270.61197	1.6514099	143.50021	41.340786	98019	3.5128639	2	1	-82765.143	38876.647	2371	5720.23	1	-1
11	288.85876	1.5867932	126.77814	57.018055	284235	5.4732199	2	1	-82825.45	38641.868	4985	5720.23	1	-1
12	183.84299	2.893882	146.12979	41.644627	153044	4.254694	3	1	-82031.23	38846.978	3675	5719.64	2	-1
13	303.72519	1.6220756	69.016594	53.130619	176128	5.2898946	3	1	-81985.113	38707.174	3315	5719.64	2	-1
14	303.66263	2.1749554	153.31548	63.863251	247981	4.5609064	3	1	-81911.583	38636.385	3883	5719.64	2	-1
15	318.84647	1.8754941	140.647	51.84935	234722	5.2392311	3	1	-81910.937	38801.666	4527	5719.64	2	-1
16	277.4115	1.5490159	124.72977	67.326057	354539.03	4.4382834	3	1	-82043.807	38613.004	5266	5719.64	2	-1
17	292.00656	2.1110144	132.14937	57.236092	261340	5.3543582	3	1	-81807.738	38802.795	4566	5719.64	2	-1
18	245.88791	1.9535997	79.232994	46.332283	220727	4.9548697	3	1	-81852.404	38794.894	4764	5719.64	2	-1
19	232.80617	1.623479	94.761856	47.561478	275809	3.4583549	3	1	-82053.321	38693.951	5799	5719.64	2	-1
20	246.45613	2.556423	125.81053	52.524536	293297	3.9346347	3	1	-81907.874	38661.379	5584	5719.64	2	-1
21	214.38847	2.8447467	127.85562	41.870274	177195	4.9638467	3	1	-81970.923	38595.75	4232	5719.64	2	-1
22	239.11333	1.8076835	184.94241	57.915001	249382	4.4287043	4	1	-81031.739	38759.257	4306	5719.34	3	-1
